ano,codigo_bairro_2010,bairro,faccao,area_bairro_m2,area_faccao_bairro_m2,percentual_area_bairro
2010,330455705081,Jacarepaguá,CV,74749389.951,168960.468,0.226036
2010,330455705081,Jacarepaguá,Milicia,74749389.951,4840992.496,6.476297
2010,330455705081,Jacarepaguá,TCP,74749389.951,0.0,0.0
2010,330455705082,Anil,ADA,3773328.725,0.0,0.0
2010,330455705082,Anil,CV,3773328.725,14291.005,0.378737
2010,330455705082,Anil,Milicia,3773328.725,156371.224,4.144119
2010,330455705082,Anil,TCP,3773328.725,0.0,0.0
2010,330455705083,Gardênia Azul,ADA,949103.226,0.0,0.0
2010,330455705083,Gardênia Azul,CV,949103.226,111.158,0.011712
2010,330455705083,Gardênia Azul,Milicia,949103.226,771519.447,81.289308
2010,330455705083,Gardênia Azul,TCP,949103.226,0.0,0.0
2010,330455705084,Cidade de Deus,ADA,1390931.874,0.0,0.0
2010,330455705084,Cidade de Deus,CV,1390931.874,967965.011,69.591116
2010,330455705084,Cidade de Deus,Milicia,1390931.874,3724.898,0.267799
2010,330455705084,Cidade de Deus,TCP,1390931.874,0.0,0.0
2010,330455705085,Curicica,ADA,3339007.728,0.0,0.0
2010,330455705085,Curicica,CV,3339007.728,0.0,0.0
2010,330455705085,Curicica,Milicia,3339007.728,610841.605,18.294106
2010,330455705085,Curicica,TCP,3339007.728,0.0,0.0
2010,330455705086,Freguesia (Jacarepaguá),ADA,10108021.173,0.0,0.0
2010,330455705086,Freguesia (Jacarepaguá),CV,10108021.173,198270.079,1.961512
2010,330455705086,Freguesia (Jacarepaguá),Milicia,10108021.173,307754.921,3.04466
2010,330455705086,Freguesia (Jacarepaguá),TCP,10108021.173,0.0,0.0
2010,330455705087,Pechincha,ADA,3127046.955,0.0,0.0
2010,330455705087,Pechincha,CV,3127046.955,0.0,0.0
2010,330455705087,Pechincha,Milicia,3127046.955,83303.228,2.663958
2010,330455705087,Pechincha,TCP,3127046.955,0.0,0.0
2010,330455705088,Taquara,ADA,13409639.819,0.0,0.0
2010,330455705088,Taquara,CV,13409639.819,67125.828,0.500579
2010,330455705088,Taquara,Milicia,13409639.819,3010377.93,22.449357
2010,330455705088,Taquara,TCP,13409639.819,0.0,0.0
2010,330455705089,Tanque,ADA,5758334.63,0.0,0.0
2010,330455705089,Tanque,CV,5758334.63,0.0,0.0
2010,330455705089,Tanque,Milicia,5758334.63,1362373.871,23.659165
2010,330455705089,Tanque,TCP,5758334.63,0.0,0.0
2010,330455705090,Praça Seca,ADA,6556015.532,0.0,0.0
2010,330455705090,Praça Seca,CV,6556015.532,31299.925,0.477423
2010,330455705090,Praça Seca,Milicia,6556015.532,4108433.793,62.666627
2010,330455705090,Praça Seca,TCP,6556015.532,0.0,0.0
2010,330455705091,Vila Valqueire,ADA,4013527.509,0.0,0.0
2010,330455705091,Vila Valqueire,CV,4013527.509,0.0,0.0
2010,330455705091,Vila Valqueire,Milicia,4013527.509,540936.211,13.477825
2010,330455705091,Vila Valqueire,TCP,4013527.509,0.0,0.0
2010,330455705092,Deodoro,ADA,4683193.264,0.0,0.0
2010,330455705092,Deodoro,CV,4683193.264,45110.211,0.963236
2010,330455705092,Deodoro,Milicia,4683193.264,449.324,0.009594
2010,330455705092,Deodoro,TCP,4683193.264,208474.63,4.451549
2010,330455705093,Vila Militar,ADA,10520035.885,0.0,0.0
2010,330455705093,Vila Militar,CV,10520035.885,0.0,0.0
2010,330455705093,Vila Militar,Milicia,10520035.885,196470.046,1.86758
2010,330455705093,Vila Militar,TCP,10520035.885,0.0,0.0
2010,330455705094,Campo dos Afonsos,ADA,3173081.541,0.0,0.0
2010,330455705094,Campo dos Afonsos,CV,3173081.541,0.0,0.0
2010,330455705094,Campo dos Afonsos,Milicia,3173081.541,0.0,0.0
2010,330455705094,Campo dos Afonsos,TCP,3173081.541,0.0,0.0
2010,330455705095,Jardim Sulacap,ADA,7838000.908,0.0,0.0
2010,330455705095,Jardim Sulacap,CV,7838000.908,0.0,0.0
2010,330455705095,Jardim Sulacap,Milicia,7838000.908,15503.906,0.197804
2010,330455705095,Jardim Sulacap,TCP,7838000.908,0.0,0.0
2010,330455705096,Magalhães Bastos,ADA,2054160.612,87299.092,4.249867
2010,330455705096,Magalhães Bastos,CV,2054160.612,0.0,0.0
2010,330455705096,Magalhães Bastos,Milicia,2054160.612,344129.253,16.752792
2010,330455705096,Magalhães Bastos,TCP,2054160.612,44253.186,2.15432
2010,330455705097,Realengo,ADA,25902981.11,653701.768,2.523655
2010,330455705097,Realengo,CV,25902981.11,27699.798,0.106937
2010,330455705097,Realengo,Milicia,25902981.11,3428530.83,13.236047
2010,330455705097,Realengo,TCP,25902981.11,81393.906,0.314226
2010,330455705098,Padre Miguel,ADA,4845945.365,1044355.155,21.551113
2010,330455705098,Padre Miguel,CV,4845945.365,21766.829,0.449176
2010,330455705098,Padre Miguel,Milicia,4845945.365,338699.725,6.989343
2010,330455705098,Padre Miguel,TCP,4845945.365,0.0,0.0
2010,330455705099,Bangu,ADA,37830395.943,1435567.697,3.794747
2010,330455705099,Bangu,CV,37830395.943,2500393.086,6.609482
2010,330455705099,Bangu,Milicia,37830395.943,2993278.324,7.912363
2010,330455705099,Bangu,TCP,37830395.943,1351775.283,3.573252
2010,330455705100,Senador Camará,ADA,17294389.899,0.0,0.0
2010,330455705100,Senador Camará,CV,17294389.899,178696.798,1.033265
2010,330455705100,Senador Camará,Milicia,17294389.899,1287.138,0.007443
2010,330455705100,Senador Camará,TCP,17294389.899,2527379.818,14.613871
2010,330455705101,Santíssimo,ADA,8471414.284,0.0,0.0
2010,330455705101,Santíssimo,CV,8471414.284,0.0,0.0
2010,330455705101,Santíssimo,Milicia,8471414.284,1126536.889,13.298097
2010,330455705101,Santíssimo,TCP,8471414.284,407091.855,4.805477
2010,330455705102,Campo Grande,ADA,104874675.28,4416.944,0.004212
2010,330455705102,Campo Grande,CV,104874675.28,4205.162,0.00401
2010,330455705102,Campo Grande,Milicia,104874675.28,18901817.278,18.023243
2010,330455705102,Campo Grande,TCP,104874675.28,0.0,0.0
2010,330455705103,Senador Vasconcelos,ADA,6282463.302,0.0,0.0
